cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date
11000,AW00011000, Jon,Yang ,M,M,06-10-2025
11001,AW00011001,Eugene,Huang  ,S,M,06-10-2025
11002,AW00011002,Ruben, Torres,M,M,06-10-2025
11003,AW00011003,Christy,  Zhu,S,F,06-10-2025
11004,AW00011004, Elizabeth,Johnson,S,F,06-10-2025
11005,AW00011005,Julio,Ruiz,S,M,06-10-2025
11006,AW00011006,Janet,Alvarez,S,F,06-10-2025
11007,AW00011007,Marco,Mehta,M,M,06-10-2025
11008,AW00011008,Rob,Verhoff,S,F,06-10-2025
11009,AW00011009,Shannon,Carlson,S,M,06-10-2025
11010,AW00011010,Jacquelyn,Suarez,S,F,06-10-2025
11011,AW00011011,Curtis,Lu,M,M,06-10-2025
11012,AW00011012,  Lauren, Walker,M,F,06-10-2025
11013,AW00011013, Ian , Jenkins ,M,M,06-10-2025
11014,AW00011014,Sydney,Bennett,S,F,06-10-2025
11015,AW00011015,  Chloe,Young,S,F,06-10-2025
11016,AW00011016,Wyatt,Hill,M,M,07-10-2025
11017,AW00011017,Shannon,Wang,S,F,07-10-2025
11018,AW00011018,Clarence,Rai,S,M,07-10-2025
11019,AW00011019,Luke,Lal,S,M,07-10-2025
11020,AW00011020,Jordan,King,S,M,07-10-2025
11021,AW00011021, Destiny,Wilson ,S,F,07-10-2025
11022,AW00011022,Ethan,Zhang,M,M,07-10-2025
11023,AW00011023,Seth,Edwards,M,M,07-10-2025
11024,AW00011024,Russell,Xie,M,M,07-10-2025
11025,AW00011025,Alejandro,Beck,M,M,07-10-2025
11026,AW00011026,Harold,Sai,S,M,07-10-2025
11027,AW00011027,Jessie,Zhao,M,M,07-10-2025
11028,AW00011028,Jill,Jimenez,M,F,07-10-2025
11029,AW00011029,Jimmy,Moreno,M,M,07-10-2025
11030,AW00011030,Bethany,Yuan,M,F,07-10-2025
11031,AW00011031,Theresa,Ramos,M,F,07-10-2025
11032,AW00011032,Denise,Stone,M,F,07-10-2025
11033,AW00011033,Jaime,Nath,M,M,07-10-2025
11034,AW00011034,Ebony,Gonzalez,M,F,07-10-2025
11035,AW00011035,Wendy,Dominguez,M,F,07-10-2025
11036,AW00011036,Jennifer,Russell,M,F,07-10-2025
11037,AW00011037,Chloe,Garcia,S,F,07-10-2025
11038,AW00011038,Diana,Hernandez,M,F,07-10-2025
