CID,BDATE,GEN
NASAW00011000,06-10-1971,Male
NASAW00011001,10-05-1976,Male
NASAW00011002,09-02-1971,Male
NASAW00011003,14-08-1973,Female
NASAW00011004,05-08-1979,Female
NASAW00011005,01-08-1976,Male
NASAW00011006,02-12-1976,Female
NASAW00011007,06-11-1969,Male
NASAW00011008,04-07-1975,Female
NASAW00011009,29-09-1969,Male
NASAW00011010,05-08-1969,Female
NASAW00011011,03-05-1969,Male
NASAW00011012,14-01-1979,Female
NASAW00011013,03-08-1979,Male
NASAW00011014,06-11-1973,Female
NASAW00011015,26-08-1984,Female
NASAW00011016,25-10-1984,Male
NASAW00011017,24-12-1949,Female
NASAW00011018,06-10-1955,Male
NASAW00011019,04-09-1983,Male
NASAW00011020,19-03-1984,Male
NASAW00011021,02-03-1984,Female
NASAW00011022,10-04-1984,Female
NASAW00011023,09-04-1984,Female
NASAW00011024,16-03-1984,Female
NASAW00011025,22-06-1951,Female
NASAW00011026,01-10-1951,Female
NASAW00011027,05-06-1952,Female
NASAW00011028,09-10-1951,Female
NASAW00011029,19-06-1952,Female
NASAW00011030,18-02-1958,Female
NASAW00011031,18-02-1953,Female
NASAW00011032,08-12-1952,Female
NASAW00011033,19-09-1958,Female
NASAW00011034,16-12-1952,Female
NASAW00011035,23-08-1953,Female
NASAW00011036,16-06-1984,Female
NASAW00011037,27-05-1983,Female
NASAW00011038,20-09-1953,Female
NASAW00011039,16-06-1954,  
NASAW00011040,29-01-1983, 
NASAW00011041,15-04-1983, 
NASAW00011042,11-12-1982,Female
NASAW00011043,23-08-1981,Female
NASAW00011044,21-11-1954,Female
NASAW00011045,16-11-1955,Female
NASAW00011046,19-09-1955,Female
NASAW00011047,27-08-1955,Female
NASAW00011048,21-05-1956,Female
